input_name,author_name,orcid,work_openalex_id,title,year,venue,doi,cited_by_count,type,openalex_url,counts_by_year,fwci,is_in_top_10_percent
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2054027614,Quantum mechanical binding free energy calculation for phosphopeptide inhibitors of the Lck SH2 domain,2011,Journal of Computational Chemistry,https://doi.org/10.1002/jcc.21808,43,article,https://openalex.org/W2054027614,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 6}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 4}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 3}, {'year': 2015, 'cited_by_count': 5}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 4}, {'year': 2012, 'cited_by_count': 10}]",2.736,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2074181884,The Binding Mode of Petrosaspongiolide M to the Human Group IIA Phospholipase A<sub>2</sub>: Exploring the Role of Covalent and Noncovalent Interactions in the Inhibition Process,2008,Chemistry - A European Journal,https://doi.org/10.1002/chem.200801512,37,article,https://openalex.org/W2074181884,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 3}, {'year': 2014, 'cited_by_count': 4}, {'year': 2013, 'cited_by_count': 4}, {'year': 2012, 'cited_by_count': 6}]",1.8854,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2313674236,A Multilevel Strategy for the Exploration of the Conformational Flexibility of Small Molecules,2012,Journal of Chemical Theory and Computation,https://doi.org/10.1021/ct300097s,37,article,https://openalex.org/W2313674236,"[{'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 5}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 3}, {'year': 2017, 'cited_by_count': 5}, {'year': 2016, 'cited_by_count': 3}, {'year': 2015, 'cited_by_count': 4}, {'year': 2014, 'cited_by_count': 3}, {'year': 2013, 'cited_by_count': 7}, {'year': 2012, 'cited_by_count': 3}]",2.6326,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2334975512,Molecular Modeling of Glucose Diffusivity in Silica Nanochannels,2009,Journal of Nanoscience and Nanotechnology,https://doi.org/10.1166/jnn.2009.1822,37,article,https://openalex.org/W2334975512,"[{'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 3}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 3}, {'year': 2014, 'cited_by_count': 6}, {'year': 2013, 'cited_by_count': 8}, {'year': 2012, 'cited_by_count': 3}]",1.786,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W3004931511,Molecular Docking Using Quantum Mechanical-Based Methods,2020,Methods in molecular biology,https://doi.org/10.1007/978-1-0716-0282-9_17,30,review,https://openalex.org/W3004931511,"[{'year': 2025, 'cited_by_count': 4}, {'year': 2024, 'cited_by_count': 3}, {'year': 2023, 'cited_by_count': 3}, {'year': 2022, 'cited_by_count': 6}, {'year': 2021, 'cited_by_count': 8}, {'year': 2020, 'cited_by_count': 6}]",13.0821,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2073155158,Rationally Designed Interfacial Peptides Are Efficient In Vitro Inhibitors of HIV-1 Capsid Assembly with Antiviral Activity,2011,PLoS ONE,https://doi.org/10.1371/journal.pone.0023877,27,article,https://openalex.org/W2073155158,"[{'year': 2024, 'cited_by_count': 3}, {'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 2}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 4}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 6}, {'year': 2012, 'cited_by_count': 4}]",1.25,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W3094383700,Bioinformatic analysis of RHO family of GTPases identifies RAC1 pharmacological inhibition as a new therapeutic strategy for hepatocellular carcinoma,2020,Gut,https://doi.org/10.1136/gutjnl-2020-321454,26,article,https://openalex.org/W3094383700,"[{'year': 2025, 'cited_by_count': 2}, {'year': 2024, 'cited_by_count': 4}, {'year': 2023, 'cited_by_count': 6}, {'year': 2022, 'cited_by_count': 12}, {'year': 2021, 'cited_by_count': 2}]",1.657,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2763463071,Structure-based drug design for envelope protein E2 uncovers a new class of bovine viral diarrhea inhibitors that block virus entry,2017,Antiviral Research,https://doi.org/10.1016/j.antiviral.2017.10.010,24,article,https://openalex.org/W2763463071,"[{'year': 2024, 'cited_by_count': 3}, {'year': 2023, 'cited_by_count': 3}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 3}, {'year': 2020, 'cited_by_count': 4}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 7}]",4.5751,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2077751275,Non Inflammatory Boronate Based Glucose-Responsive Insulin Delivery Systems,2012,PLoS ONE,https://doi.org/10.1371/journal.pone.0029585,18,article,https://openalex.org/W2077751275,"[{'year': 2026, 'cited_by_count': 1}, {'year': 2025, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 1}]",1.1609,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W4283372351,Insights into the product release mechanism of dengue virus NS3 helicase,2022,Nucleic Acids Research,https://doi.org/10.1093/nar/gkac473,10,article,https://openalex.org/W4283372351,"[{'year': 2026, 'cited_by_count': 1}, {'year': 2025, 'cited_by_count': 4}, {'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 3}, {'year': 2017, 'cited_by_count': 1}]",1.5664,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W4294719059,How good are AlphaFold models for docking-based virtual screening?,2022,,https://doi.org/10.26434/chemrxiv-2022-sgj8c,10,preprint,https://openalex.org/W4294719059,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 8}, {'year': 2022, 'cited_by_count': 1}]",2.63347764,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W4411437704,Enhancing the Reliability of Integrated Consensus Strategies to Boost Docking‐Based Screening Campaigns Using Publicly Available Docking Programs,2025,Molecular Informatics,https://doi.org/10.1002/minf.2445,1,article,https://openalex.org/W4411437704,"[{'year': 2026, 'cited_by_count': 1}]",1.6595,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2006880135,"Accurate Transferable Model for Water,<i>n</i>-Octanol, and<i>n</i>-Hexadecane Solvation Free Energies",2002,The Journal of Physical Chemistry B,https://doi.org/10.1021/jp0264477,57,article,https://openalex.org/W2006880135,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 3}, {'year': 2020, 'cited_by_count': 2}, {'year': 2019, 'cited_by_count': 4}, {'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 3}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 4}]",2.6338,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2121538723,Androgen Receptor Mutations Identified in Prostate Cancer and Androgen Insensitivity Syndrome Display Aberrant ART-27 Coactivator Function,2005,Molecular Endocrinology,https://doi.org/10.1210/me.2005-0134,42,article,https://openalex.org/W2121538723,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 3}, {'year': 2017, 'cited_by_count': 4}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 4}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 3}]",2.5166,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2328749365,Conformational Sampling of Protein Flexibility in Generalized Coordinates: Application to Ligand Docking,2005,Journal of Computational and Theoretical Nanoscience,https://doi.org/10.1166/jctn.2005.204,41,article,https://openalex.org/W2328749365,"[{'year': 2022, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 2}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 4}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 1}]",4.2162,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W1981740733,"Scalaradial, a Dialdehyde‐Containing Marine Metabolite That Causes an Unexpected Noncovalent PLA<sub>2</sub> Inactivation",2007,ChemBioChem,https://doi.org/10.1002/cbic.200700217,40,article,https://openalex.org/W1981740733,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 4}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 5}]",3.8053,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2056602687,Quantum chemical analysis of the orientational lone-pair effect on spin-spin coupling constants,1990,Journal of Molecular Structure THEOCHEM,https://doi.org/10.1016/0166-1280(90)80039-q,31,article,https://openalex.org/W2056602687,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 4}]",1.9819,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2001205550,Computational and experimental studies of the interaction between phospho-peptides and the C-terminal domain of BRCA1,2011,Journal of Computer-Aided Molecular Design,https://doi.org/10.1007/s10822-011-9484-3,30,article,https://openalex.org/W2001205550,"[{'year': 2024, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 6}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 3}, {'year': 2017, 'cited_by_count': 3}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 4}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 3}, {'year': 2012, 'cited_by_count': 1}]",0.83857156,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2413436809,Normal Mode-Based Approaches in Receptor Ensemble Docking,2011,Methods in molecular biology,https://doi.org/10.1007/978-1-61779-465-0_11,23,article,https://openalex.org/W2413436809,"[{'year': 2025, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 5}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 5}, {'year': 2013, 'cited_by_count': 2}]",3.6149,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2790459822,Discovery of Novel Bovine Viral Diarrhea Inhibitors Using Structure-Based Virtual Screening on the Envelope Protein E2,2018,Frontiers in Chemistry,https://doi.org/10.3389/fchem.2018.00079,17,article,https://openalex.org/W2790459822,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 5}, {'year': 2020, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 4}]",3.925,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W3201220088,Evaluation of Silicone Fluids and Resins as CO<sub>2</sub> Thickeners for Enhanced Oil Recovery Using a Computational and Experimental Approach,2021,ACS Omega,https://doi.org/10.1021/acsomega.1c03660,15,article,https://openalex.org/W3201220088,"[{'year': 2025, 'cited_by_count': 4}, {'year': 2024, 'cited_by_count': 4}, {'year': 2023, 'cited_by_count': 4}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 1}]",1.8676,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W196133664,Docking Methods for Structure-Based Library Design,2010,Methods in molecular biology,https://doi.org/10.1007/978-1-60761-931-4_8,13,article,https://openalex.org/W196133664,"[{'year': 2018, 'cited_by_count': 2}, {'year': 2016, 'cited_by_count': 4}, {'year': 2015, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 3}]",1.7116,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2204280320,Investigating molecular dynamics-guided lead optimization of EGFR inhibitors,2015,Bioorganic & Medicinal Chemistry,https://doi.org/10.1016/j.bmc.2015.12.046,13,article,https://openalex.org/W2204280320,"[{'year': 2023, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 2}, {'year': 2019, 'cited_by_count': 3}, {'year': 2018, 'cited_by_count': 4}, {'year': 2017, 'cited_by_count': 2}]",1.0283,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W4255530576,In silico Drug Repurposing for COVID-19: Targeting SARS-CoV-2 Proteins through Docking and Quantum Mechanical Scoring,2020,,https://doi.org/10.26434/chemrxiv.12110199,12,preprint,https://openalex.org/W4255530576,"[{'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 3}, {'year': 2020, 'cited_by_count': 6}]",1.76505728,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2025836226,"Structure‐based identification of binding sites, native ligands and potential inhibitors for G‐protein coupled receptors",2003,Proteins Structure Function and Bioinformatics,https://doi.org/10.1002/prot.10362,76,article,https://openalex.org/W2025836226,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2024, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 3}, {'year': 2018, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 3}]",3.1073,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2077866319,The Challenge of Considering Receptor Flexibility in Ligand Docking and Virtual Screening,2005,Current Computer - Aided Drug Design,https://doi.org/10.2174/157340905774330291,47,article,https://openalex.org/W2077866319,"[{'year': 2025, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 2}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 2}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 3}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 1}]",4.2162,True
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2074742740,Molecular basis of agonicity and antagonicity in the androgen receptor studied by molecular dynamics simulations,2008,Journal of Molecular Graphics and Modelling,https://doi.org/10.1016/j.jmgm.2008.08.001,27,article,https://openalex.org/W2074742740,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 3}, {'year': 2019, 'cited_by_count': 3}, {'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 3}]",0.5063,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2005405862,Direct Derivation of van der Waals Force Field Parameters from Quantum Mechanical Interaction Energies,2003,The Journal of Physical Chemistry B,https://doi.org/10.1021/jp034164o,24,article,https://openalex.org/W2005405862,"[{'year': 2022, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 3}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 1}]",1.41435349,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2327118645,Hydration Free Energies Using Semiempirical Quantum Mechanical Hamiltonians and a Continuum Solvent Model with Multiple Atomic-Type Parameters,2011,The Journal of Physical Chemistry B,https://doi.org/10.1021/jp203885n,18,article,https://openalex.org/W2327118645,"[{'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 3}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 3}, {'year': 2012, 'cited_by_count': 3}]",1.9636,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2136868360,Quantum Mechanical Dynamics of Charge Transfer in Ubiquitin in Aqueous Solution,2009,ChemPhysChem,https://doi.org/10.1002/cphc.200900535,17,article,https://openalex.org/W2136868360,"[{'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 3}]",1.4435,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2898971140,"A fluorescence nanoscopy marker for corticotropin-releasing hormone type 1 receptor: computer design, synthesis, signaling effects, super-resolved fluorescence imaging, and <i>in situ</i> affinity constant in cells",2018,Physical Chemistry Chemical Physics,https://doi.org/10.1039/c8cp06196c,15,article,https://openalex.org/W2898971140,"[{'year': 2025, 'cited_by_count': 3}, {'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 2}, {'year': 2022, 'cited_by_count': 4}, {'year': 2021, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 2}, {'year': 2019, 'cited_by_count': 1}]",1.2195,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W3199371739,Guided structure-based ligand identification and design via artificial intelligence modeling,2021,Expert Opinion on Drug Discovery,https://doi.org/10.1080/17460441.2021.1979514,11,review,https://openalex.org/W3199371739,"[{'year': 2025, 'cited_by_count': 3}, {'year': 2024, 'cited_by_count': 2}, {'year': 2023, 'cited_by_count': 4}, {'year': 2022, 'cited_by_count': 2}]",1.1838,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W3041241326,Flexi-pharma: a molecule-ranking strategy for virtual screening using pharmacophores from ligand-free conformational ensembles,2020,Journal of Computer-Aided Molecular Design,https://doi.org/10.1007/s10822-020-00329-7,10,article,https://openalex.org/W3041241326,"[{'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 4}, {'year': 2020, 'cited_by_count': 3}]",1.4434,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W3035185430,In silico Drug Repurposing for COVID-19: Targeting SARS-CoV-2 Proteins through Docking and Quantum Mechanical Scoring,2020,,https://doi.org/10.26434/chemrxiv.12110199.v1,6,preprint,https://openalex.org/W3035185430,"[{'year': 2021, 'cited_by_count': 4}, {'year': 2020, 'cited_by_count': 2}]",0.88252864,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2344926548,Binding Free Energy Calculation and Scoring in Small-Molecule Docking,2012,,https://doi.org/10.1039/9781849735377-00195,5,book-chapter,https://openalex.org/W2344926548,"[{'year': 2020, 'cited_by_count': 3}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}]",0.0,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2097584955,Determinants of Retinoid X Receptor Transcriptional Antagonism,2004,Journal of Medicinal Chemistry,https://doi.org/10.1021/jm030651g,36,article,https://openalex.org/W2097584955,"[{'year': 2020, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 2}, {'year': 2016, 'cited_by_count': 1}]",1.6372,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2099818948,Electronic Mechanisms of Intra and Intermolecular J Couplings in Systems with C-H···O Interactions,2003,International Journal of Molecular Sciences,https://doi.org/10.3390/i4040203,14,article,https://openalex.org/W2099818948,"[{'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 1}]",1.0522,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2002206793,The Conformational Stability and Thermodynamics of Fur A (Ferric Uptake Regulator) from Anabaena sp. PCC 7119,2005,Biophysical Journal,https://doi.org/10.1529/biophysj.105.065805,11,article,https://openalex.org/W2002206793,"[{'year': 2020, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 2}]",0.2004,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2042961460,The Histidine-Phosphocarrier Protein of the Phosphoenolpyruvate: Sugar Phosphotransferase System of Bacillus sphaericus Self-Associates,2013,PLoS ONE,https://doi.org/10.1371/journal.pone.0069307,9,article,https://openalex.org/W2042961460,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 2}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 2}]",0.7311,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2142030925,The canonical equilibrium of constrained molecular models,2011,The European Physical Journal Special Topics,https://doi.org/10.1140/epjst/e2011-01517-9,9,article,https://openalex.org/W2142030925,"[{'year': 2022, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 2}]",0.797,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W177083789,Quantum-Mechanical Molecular Dynamics of Charge Transfer,2010,Challenges and advances in computational chemistry and physics,https://doi.org/10.1007/978-90-481-3034-4_9,4,book-chapter,https://openalex.org/W177083789,"[{'year': 2018, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 2}]",2.6029,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W4396801543,Lessons learnt from machine learning in early stages of drug discovery,2024,Expert Opinion on Drug Discovery,https://doi.org/10.1080/17460441.2024.2354279,4,editorial,https://openalex.org/W4396801543,"[{'year': 2025, 'cited_by_count': 2}, {'year': 2024, 'cited_by_count': 2}]",1.5111,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2589533735,Correction to X-Aptamers: A Bead-Based Selection Method for Random Incorporation of Druglike Moieties onto Next-Generation Aptamers for Enhanced Binding,2012,Biochemistry,https://doi.org/10.1021/bi301447a,4,article,https://openalex.org/W2589533735,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 1}]",0.0,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W2154462962,Exo‐exo and endo‐endo vicinal proton spin‐spin coupling constants in norbornane and norbornene. An IPPP‐CLOPPA analysis,1991,Journal of Computational Chemistry,https://doi.org/10.1002/jcc.540120202,13,article,https://openalex.org/W2154462962,"[{'year': 2018, 'cited_by_count': 1}]",0.5777,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W1523494089,Ligand Docking and Virtual Screening in Structure-based Drug Discovery,2006,AIP conference proceedings,https://doi.org/10.1063/1.2345621,7,article,https://openalex.org/W1523494089,"[{'year': 2023, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 1}]",0.0,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W1985479226,2J(SeSe) couplings in diseleno-substituted alkenylic compounds. A CLOPPA-IPPP analysis,1990,Journal of Magnetic Resonance (1969),https://doi.org/10.1016/0022-2364(90)90001-p,6,article,https://openalex.org/W1985479226,"[{'year': 2018, 'cited_by_count': 1}]",1.1056,False
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,https://openalex.org/W1979582846,Self-energies for the particle-hole propagator from Feynman-Dyson equations,1995,Journal of Molecular Structure THEOCHEM,https://doi.org/10.1016/0166-1280(94)03976-r,5,article,https://openalex.org/W1979582846,"[{'year': 2018, 'cited_by_count': 1}]",0.2489,False
